事件id,事件名称,朝代,时期,年号,年份,事件简介,事件内容,检索词,事件类别,特征类别,一级地点,二级地点,相关人物,相关作品
200,沈佺期作《独不见》,唐,唐,,,沈佺期的诗人在《独不见》中将莫愁想象成闺中思妇,"在李贺之前一百多年，在初唐时代，有个叫沈佺期的诗人曾将莫愁想象成闺中思妇，或者说，把闺中思妇想象成莫愁。这是他那一篇有名的《独不见》：
卢家少妇郁金堂，海燕双栖玳瑁梁。
九月寒砧催木叶，十年征戍忆辽阳。
白狼河北音书断，丹风城南秋夜长。
谁谓含愁独不见，更教明月照流黄。
这个卢家少妇当然就是莫愁。",莫愁“变脸”,作品事件,人物+创作,,,沈佺期,《独不见》
201,徐凝作《莫愁曲》,唐,唐,,,徐凝《莫愁曲》写莫愁,在唐朝边塞诗潮流的裹挟中，莫愁被同化了，《独不见》是初唐的例子，徐凝《莫愁曲》则是中唐的例子。徐凝一定是个很喜欢六朝情味的诗人，他的诗作不多，谢家咏雪、白门柳、桓大司马种柳、金谷园之类的六朝典实，却时常能碰到。《忆扬州》是他最有名的一篇作品：“萧娘脸下难胜泪，桃叶眉头易得愁。天下三分明月夜，二分无赖是扬州。”这首七绝的后半，是关于扬州风光的最有名的句子。可惜，这是江北的广陵城，而不是江南的建康城。话说回来，把诗的气氛装点、烘托、渲染得美丽而哀愁的，却是萧娘、桃叶这两个女子，这是两个跟南朝、跟金陵相关的美丽而多情的女子。,莫愁“变脸”,作品事件,人物+创作,扬州、金陵,,徐凝、萧娘、桃叶,《独不见》、《莫愁曲》、《忆扬州》
205,莫愁湖的传说,南朝,梁,,,莫愁只好单身驾船逃走，临走之时，她舍不下乡亲，在船只徘徊盘旋之中，旁边围起一道埂，成了今天的莫愁湖,"有一个传说，说莫愁是宋、齐之间人，洛阳贫家女。十五岁的时候，她的父亲病死了。为了葬父，她自卖到石城卢员外家为儿媳，婚后生子阿侯。后来，丈夫从军戍边，一别十载，杳无音信。莫愁一心扶贫救弱，深得邻里爱戴。老公公极力反对，乃至对她诬陷凌辱，莫愁不堪受辱，投石城湖而死。为了纪念她，人们把湖改名为莫愁湖。
另一段晚近的传说更为曲折。莫愁本名秋女，因为是秋天在洛阳出生的。母亲死后，靠父亲采药治病为生，父女俩相依为命。莫愁跟着父亲上山采药，采摘郁金香。不幸，父亲失足落崖而死，秋女自感命苦，哭诉于街上，哀愁不自胜，从此改名为愁女。她卖身葬父，被建康商人卢员外买走，带回建康，做了儿媳。婚后夫妇恩爱，生有一子，卢家还为她建了一座郁金堂。丈夫将她改名莫愁。有一天，梁武帝来到卢员外家，见到莫愁，图谋夺为己有，就设计征其夫从军，再害死卢员外，然后召莫愁进宫。莫愁只好单身驾船逃走，临走之时，她舍不下乡亲，在船只徘徊盘旋之中，旁边围起一道埂，成了今天的莫愁湖。乡人骗梁武帝说莫愁跳江死了，他有愧于心，写下了《河中之水歌》。",莫愁变脸,典故,人物+典故,洛阳、建康,莫愁湖,莫愁、卢员外、梁武帝,《河中之水歌》
206,建初寺创立,东吴,东吴,赤乌,247年,孙权信守承诺，允许康僧会在建康建立寺庙,城南的建初寺，是佛教在南京最早的据点之一。东吴赤乌十年（247），当康僧会踏上这片土地的时候，对佛教来说，这个城市还几乎是一片处女地，是正待开辟的一方新领土。初来乍到、奇装异服、自称沙门、言论夸诞的康僧会，让人且惊且喜，将信将疑。早些年，吴主孙权曾经接触过避乱来吴的僧人支谦，惊鸿一瞥，对佛教只留下一知半解。康僧会陈述佛法的灵验，夸说佛骨舍利的无比神曜，悬河决口，滔滔不绝，在孙权听来，这差不多是天方夜谭。空谈无用。康僧会只好虔诚礼请，三七二十一天过后，五更之时，静谧的夜空中，忽然传来铿然一声，循声看去，铜瓶中已经落入一颗舍利。这舍利果然神奇，五彩光芒，照亮了铜瓶，又质地坚硬，犹如金刚钻石，铁砧砸不碎，铜盘给它一碰，立时破裂。这非同寻常的灵验，震惊朝野，也震慑了东吴国主孙权。孙权信守承诺，允许康僧会在建康建立寺庙。这一座破天荒的寺庙，于是得名建初寺，建庙之地也就得名佛陀里。,莫愁变脸,典故,人物+典故,南京,建初寺、佛陀里,孙权、康僧会、支谦,
207,士僧友好,南朝,刘宋,,420年,刘宋初年，平陆县令许桑舍宅而建平陆寺，范泰不仅建立了祇洹寺，而且把六十亩果竹园施舍给寺院,刘宋初年，平陆县令许桑舍宅而建平陆寺，范泰不仅建立了祇洹寺，而且把六十亩果竹园施舍给寺院。在佛教史上，这是士僧关系的“蜜月期”，一座建康城俨然成了高僧的渊薮。,莫愁“变脸”,活动,人物+事件,建康,平陆县平陆寺、祇洹寺,范泰、许桑,
208,玄畅住止灵根寺,南朝,齐,永明,483年,永明初年，文惠太子又不远千里把玄畅迎回建康，住止灵根寺,高僧玄畅原驻岷山郡广阳县，齐豫章王萧嶷镇守荆峡时，把他请到了江陵。永明初年，文惠太子又不远千里把玄畅迎回建康，住止灵根寺。这个远道而来的高僧死后，就埋在钟山独龙阜前，也就是后来明孝陵的所在。,莫愁“变脸”,作者事件,人物+事件,岷山郡、建康、江陵,广阳县、灵根寺、钟山独龙阜（明孝陵）,玄畅、萧嶷、文惠太子,
209,竺道生悟道,南朝,晋;刘宋,,,竺道生悟道，大本《涅槃经》传到金陵，正与竺道生所宣讲的不谋而合,竺道生是从北方来的，早年就以天资神悟而出类拔萃。他曾在庐山幽栖七年，后来又与慧睿、慧严等人一同游学长安，受业于鸠摩罗什，到建康以后，他住止青园寺，默默参详佛法。有一天，沉思默想的竺道生突然豁然开朗：原来一切众生皆有佛性，可以顿悟成佛。他激动得不能自已，到处宣讲这一思想，建康城道俗两界都为之震动。那些拘守旧说的保守派人士视之为异端邪说、洪水猛兽，群起而攻。道生不为所动，坚持自己的学说，有时也不免信誓旦旦，表明自己的虔诚。多年以后，大本《涅槃经》传到金陵，正与竺道生所宣讲的不谋而合，芸芸众生这才慨叹竺道生孤明先觉，钦佩得五体投地，而竺道生执此经卷，升座宣讲之时，自然更加理直气壮。可惜，那时他早已离开青园寺了。,莫愁“变脸”,作者事件,人物+事件,九江、建康,庐山、青园寺,竺道生、慧睿、慧严、鸠摩罗什,《涅槃经》
210,谢灵运服膺道生的顿悟说,晋,晋,,,谢灵运服膺道生的顿悟说,谢灵运最服膺道生的顿悟说，他曾写过一篇《辨宗论》，旨在发挥道生的顿悟之义。谢灵运曾经自信地对孟顗说：“得道需要的是慧业。您升天会在我之前，但成佛必定在我之后。”,莫愁“变脸”,作者事件,人物+事件,,,谢灵运、膺道生、孟顗,《辨宗论》
211,谢灵运请教慧睿梵文音韵,晋,晋,,,谢灵运请教慧睿梵文音韵,乌衣寺的慧睿也是建康有名的高僧。他是道生的同学，对经字音声深有研究。乌衣寺与王、谢二族居住地相近，王、谢子弟经常来往于此。笃好佛学的谢灵运对梵文音韵之学很有兴趣，曾到寺中向慧睿请教经中诸字及众音异旨。彭城王刘义康对慧睿也十分敬重。,烟雨楼台,活动,人物+事件,建康,乌衣寺,慧睿、竺道生、谢灵运、刘义康,
212,刘勰文才,南朝,梁,,,刘勰本有文才，随僧祐学习了十几年，博通经论，有《文心雕龙》传世,刘勰本有文才，又随僧祐学习了十几年，博通经论，当时建康城里凡有新建寺塔或者名僧坐化，碑记墓志之属往往出自刘勰之手，可惜今天大都失传了。值得庆幸的是，他的《文心雕龙》没有失传，这部六朝文学理论批评的扛鼎之作的出现，跟刘勰的这段佛学经历、跟他从中受到的思维训练是分不开的。,烟雨楼台,作者事件,人物+事件,建康,,刘勰、僧祐,《文心雕龙》
213,济公宝志,南朝,六朝,,,宝志行止无定，神通怪异。墓地旁，敕令修建开善寺和宝公,宝志据说就是后来的济公和尚的原型，从南朝起，他的故事就在民间传播，越传越玄。他究竟活了多少岁，没有人说得清。人们依稀记得，他刚到京城的时候，住止在道林寺，那还是宋明帝以前的事。不知从什么时候起，他变得言行怪异，疯疯癫癫。他行止无定，饮食无时，有时几天不进食，居然也不觉得饿。他行走于京城街巷间，寒冬时节跣足袒行，也居然不觉得冷。他常常执一根锡杖，杖头挂着剪刀、尺子、拂尘与明镜，据说那是隐喻齐、梁、陈、明四个朝代，他对人们的讪笑毫不介意。他还经常说些莫名其妙的话，人们当下听不懂，过后知道是谶语，没有一句不灵验，才对这个疯和尚刮目相看，不敢小觑。传说他还会神术，能够分身三处，能够把吃下肚子的鱼放回盆中游动如故，甚至能够呼风唤雨。这个妖道的名声渐渐传入宫里，引起了皇帝的警惕。从齐武帝到梁武帝，帝王们想过多种办法，把他收捕下狱，限制他出入等，全都无济于事，皇帝变得更加紧张，最后黔驴技穷，只得与他妥协，任其行走来往，随意出入禁中，从此相安无事。天监十三年（514），宝志无疾而终，葬于钟山玩珠峰独龙阜，占断一处好风水。在他的墓地旁，敕令修建开善寺和宝公塔，当世名流陆倕为他作了墓铭，王筠为他写了碑文。宝志的死，标志着他与皇权玩笑式的抗衡以胜利而告终。,烟雨楼台,典故,人物+典故,长沙,道林寺,宝志、宋明帝、齐武帝、梁武帝,
214,云光法师雨花台讲经,南朝,梁,,,云光法师讲经，落花如雨,雨花台原名石子冈，南朝时代，这里己是香烟缭绕之区，僧寺棋布。写过《佛国记》的东晋大旅行家法显，曾在这里的道场寺翻译古印度六部佛经。这里的甘露寺又称高座寺，也常有高僧说法讲经。最耸人听闻的是相传梁武帝时，有云光法师在此讲《法华经》，说到动听之处，感动上天，天花纷纷坠落，落花如雨，花雨落地为石，雨花台由此得名。,烟雨楼台,典故,人物+典故,南京,雨花台（石子冈）,云光法师、法显、梁武帝,《佛国记》、《法华经》
220,李公佐破案,唐,唐,元和,813年,李公佐破案，帮助谢小娥找到凶手,这是元和八年（813）的春天。刚刚从江西的从事任上解职的李公佐一身轻松，他顺江东下，泊船于秦淮河岸，顺路到金陵访古寻友，盘桓几天。瓦官阁所在的瓦官寺，有一位法号齐物的僧人原是公佐的朋友。他跟公佐说起一件奇怪的事：最近有个叫谢小娥的女子，常到寺里来，请教两句话怎么解释。这小娥是江西南昌人，随父亲和丈夫外出经商，不幸遇上强盗，父亲和丈夫都死于非命。她被强盗击伤后落水，侥幸被人救起来，沿途辗转乞讨，来到当时的南京，被好心的妙果寺尼姑净悟收留下来。小娥梦见父亲对她说了一句话：“杀我者，车中猴，门东草。”丈夫也向她托梦，说：“杀我者，禾中走，一日夫。”她相信凶手的名字就隐藏在这两句话里面，可是苦思冥想，仍然不得其解，她费了几年时间，到处请教高人，却都不明所以。听了齐物的一番话，李公佐很感兴趣。他靠在槛边，凝神思考起来。没过多长时间，李公佐就想明白了。这显然是两段隐语，是拆字格的谜语，里面隐藏着申兰、申春两个名字。“车中猴”是“申”字：“車”字去掉上下两横，中间不是“申”字吗？十二地支中，与猴相对应的也是申。草头、门、东三部分合起来，正好是兰（繁体“蘭”）字。“禾中走”，就是穿“田”而过，当然是“申”字。一、日、夫三部分合起来，则是“春”字。李公佐让齐物把谢小娥喊过来，当面问过详情，才将自己破解的谜底和盘托出：杀死谢小娥父亲和丈夫的凶手就是申兰、申春。谢小娥恸哭不己，拜谢而去。靠着李公佐提供的这个重要线索，谢小娥到处寻访，终于找到了凶手。四年之后，她擒杀了贼首申兰、申春，又将其同党一网打尽，为亲人报仇雪恨。,高阁临江,作者事件,人物+典故,金陵,秦淮河岸、瓦官寺,李公佐、齐物、谢小娥,
221,竺法汰讲经,晋,晋,,,竺法汰讲经，每次开讲，远近士女，老老少少，成群结队地前来聆听,竺法汰佛学修养精深，晋简文帝敬重他，请他讲经，还亲自驾临听讲，王侯公卿也都蜂拥而至。竺法汰的名声越来越大，每次开讲，远近士女，老老少少，成群结队地前来聆听，场面壮观，瓦官寺也随之名震一时。,高阁临江,活动,人物+典故,南京,瓦官寺,竺法汰、晋简文帝,
222,顾恺之作维摩诘像,晋,晋,,,顾恺之作维摩诘像，轰动建康,有一天，家住附近的年轻画家顾恺之来到寺里，一开口就认捐一百万钱，大家都很惊讶。有些人认为这位怪才大言不惭，只不过哗众取宠，肯定拿不出这许多钱。顾恺之对住持说，只要给他一堵粉刷一新的白墙，让他画一幅画就行了。他花了个把月时间，在寺庙的墙上画了一幅维摩诘像，神采奕奕，栩栩如生，点上传神阿堵之后，更是流光溢彩，精神焕发，把寺里的人都看呆了。这消息很快传开，远近人们争先恐后来观赏。顾恺之交代住持：头一天来看的，每一位要捐钱十万；第二天来看的，每一位捐钱五万；第三天来看的，随缘捐助，多少不限。不几天，门票收入就已超过了一百万。顾虎头这幅神奇的维摩像，又称为金粟如来，当时就轰动建康，过了几百年仍然有人念念不忘。诗人杜甫客游金陵时，就专程去寺里看画，还特地托朋友弄了一份维摩图样。若干年之后，他还清清楚楚地记得那时如饥似渴的感受：虎头金粟影，神妙独难忘。,高阁临江,典故,人物+典故,建康,,顾恺之、杜甫,
223,王斌辩慧超,南朝,六朝,,,王斌辩慧超，机锋往返，耸动四座,瓦官寺是六朝道俗两界的活动中心，名僧高士会集于斯，展开思想的交锋。据《南史·陆厥传》记载，有一位后来还俗的僧人王斌，曾到瓦官寺听云法师宣讲《成实论》，寺内听众济济一堂，座无虚席，只有僧正慧超旁边还剩一个空座，王斌就坐了下来。慧超见他不客气，就厉声训斥，王斌奋起反击，与慧超展开一场辩论，机锋往返，耸动四座。王斌一下子成了建康城的名人。在《世说新语》中，也能看到刘谈、王濛、桓伊等名士聚在瓦官寺，商略西晋及江左人物。名士与名僧间的谈论，时常是敏捷和机智的对抗。,高阁临江,作者事件,人物+典故,南京,瓦官寺,王斌、云法师、僧正慧超、刘谈、王濛、桓伊,《成实论》、《世说新语》
224,李白游金陵、作诗篇,唐,唐,,,李白在金陵游历创作,李白在金陵的日子里，城西南一带，从凤凰台到瓦官阁，都是让他流连忘返的地方。他曾“晨登瓦官阁，极眺金陵城”，放眼所见，是“钟山对北户，淮水入南荣。漫漫雨花落，嘈嘈天乐鸣。两廊振法鼓，四角吟风筝。杳出霄汉上，仰攀日月行。山空霸气灭，地古寒阴生。寥廓云海晚，苍茫宫观平。门馀阊阖字，楼识凤皇名。雷作百山动，神扶万栱倾。灵光何足贵，长此镇吴京”。在李白的眼中，这里既有地理的开阔，又有历史的纵深，虽然一般人往往只注目于前者。,高阁临江,作品事件,人物+作品,金陵,凤皇台、瓦官阁、钟山,李白,
225,刘过感叹升元阁遗址,宋,南宋,,,刘过感叹升元阁遗址,开宝八年（975），宋兵南下，金陵城中士大夫及富商豪民纷纷躲进升元阁里避难，多达数千人。宋兵放了一把火，“灰飞障天烟焰炽，一火二月烂不收”，巍峨的升元阁从此化为焦土。“眼中已不见二百四十尺之高楼，但见炊烟方灶宿貔貅。上有啼鸦噪鹊如泣诉，下有藤蔓老树根据枝相纠。”这是南宋诗人刘过眼中的升元阁遗址，怎不令人慨叹！瓦官阁的焚毁，象征着南唐的灭亡。,高阁临江,作品事件,人物+作品,金陵,升元阁（瓦官阁）,刘过,
227,王庭珪作诗,宋,宋,,,王庭珪作诗谈孙楚酒楼,孙楚酒楼后来几乎成了酒楼的代名词。喝酒的人登上酒楼，就不免想起李白和孙楚，平添了一段风雅情怀。宋代王庭珪《和胡观光登酒楼》诗就这么写：“李白夜登孙楚楼，楼中玩月苦淹留。”由于李白的关系，宋人周应合在《景定建康志》中干脆改称这座酒楼为“李白酒楼”。“客大压店”的事例并不少见，但“大”到连店名都一起攘夺而去，就匪夷所思了。明初，人们在孙楚楼旧址之上重建一座别致的酒楼，取名“醉仙楼”。,百斛金陵,作品事件,人物+作品,南京,孙楚酒楼、醉仙楼,王庭珪、李白、孙楚、周应合,《和胡观光登酒楼》、《景定建康志》
228,陈文述作诗论金陵杏花村,清,清,嘉庆,,陈文述作诗论金陵杏花村,嘉庆间，好事的陈文述编纂《金陵历代名胜志》时，又作诗一首：“江南春雨梦无痕，沽酒旗亭白下门。一自樊川题句后，至今人说杏花村。”在他眼中，金陵杏花村俨然是杜牧诗的嫡传。,百斛金陵,作品事件,人物+作品,金陵,杏花村,陈文述,《金陵历代名胜志》
229,欧阳修定居颍州,宋,宋,,,欧阳修定居颍州,宋代文人中，欧阳修喜爱颍州（今安徽阜阳）当地的风土，又有西湖之胜，曾与曾巩相约买田退居颍州，65岁退休那年，果然定居颍州，而没有到老还乡。,细数落花,作者事件,人物+事件,颍州,西湖,欧阳修,
230,王安石怀念金陵,宋,宋,,,王安石作《清明辇下怀金陵》怀念金陵,但他在其他城市待的时间，都没有在金陵这个地方长，对故乡临川，对他曾任职过的鄞县、常州等地，王安石都有留恋之情，可是，这些都远远比不上他对金陵的感情。“故园回首三千里，新火伤心六七年。青盖皂衫无复禁，可能乘兴酒家眠。”这是他在任京官时作的《清明辇下怀金陵》。,细数落花,作品事件,人物+作品,金陵、临川、鄞县、常州,,王安石,《清明辇下怀金陵》
231,邵博污蔑王安石,宋,宋,,,邵博作《辨奸论》污蔑王安石,例如邵博，他不仅作了一篇《辨奸论》，诬蔑王安石不近人情，更在《邵氏闻见后录》中编造故事，说王荆公在半山园使唤过一个老兵，帮他汲泉扫地，满意的时候当然赞不绝口，稍有不如意处，就勃然大怒，将他赶走。这无非是要把王安石描绘成一个喜怒无常的小人，给他脸上抹黑。,细数落花,作者事件,人物+事件,南京,半山园,邵博、王安石,《辨奸论》
233,欧阳修赠诗王安石,宋,宋,嘉祐,1056年,欧阳修赠诗王安石,早在嘉祐元年（1056），前辈欧阳修就赠诗给王安石：“翰林风月三千首，吏部文章二百年。老去自怜心尚在，后来谁与子争先。”一方面高度称赞王安石的文才，另一方面期许他有远大的前程。,细数落花,作品事件,人物+创作,,,欧阳修、王安石,
235,王安石作《钟山绝句》,宋,宋,,,王安石《钟山绝句》立意生新,以前，他似乎爱作翻案文章，爱立意生新，现在，他还喜欢与人唱反调。他曾写过一首《钟山绝句》：“涧水无声绕竹流，竹西花草弄春柔。茅檐相对坐终日，一鸟不鸣山更幽。”南朝诗人王籍《游若耶溪》：“蝉噪林逾静，鸟鸣山更幽。”王安石故意反其意而用之。,叶落半山,作品事件,人物+创作,,,王安石、王籍,《钟山绝句》、《游若耶溪》
236,王安石与苏东坡交往,宋,宋,"元丰,熙宁","1084年7月,",王安石与苏东坡交往,事实是，元丰七年（1084）七月，苏东坡从黄州北还，途经金陵，在这里一待就是三个月。在江宁太守王胜之的陪同下，苏东坡专程来到半山园看望王安石，并一起游览钟山。王、苏二人同出欧阳修门下，熙宁年间，两人曾经同任京官，但彼此间的交往并不很多。这一次，两位文学大师终于有机会亲密接触，在一起盘桓了一个多月，长谈，出游，吟咏，唱和，加深了彼此的了解。时过境迁，仿佛两片天空，刚刚经历了风暴的洗礼之后，格外清明澄静。这两颗伟大的心灵顷刻之间就前嫌尽释、相互谅解了。苏东坡对王安石十分敬佩，读了《桂枝香·金陵怀古》以后，感叹：“此老乃野狐精也。”离开江宁以后，苏东坡渡江到了仪征，寄来了一首蒋山记游诗。王安石读后，拍案叫绝，特别称赞其中的两句：“峰多巧障日，江远欲浮天。”慨叹道：“老夫平生作诗，无此二句。”,叶落半山,作者事件,人物+典故,黄州、金陵、仪征,半山园、钟山,王安石、苏东坡、王胜之,《桂枝香·金陵怀古》、《蒋山记游诗》
237,王安石提出终老钟山,宋,宋,,,王安石提出终老钟山,"终老钟山之下的建议，最初是王安石提出的。苏东坡有《次荆公韵四首》，其中和王安石《北山》的一首，提到这件事：
骑驴渺渺入荒陂，想见先生未病时。
劝我试求三亩宅，从公已觉十年迟。",叶落半山,作者事件,人物+典故,南京,钟山,王安石、苏东坡,《次荆公韵四首》、《北山》
238,长鸣真意,宋,宋,元丰,1084年,王安石称赞其驴，唇比仙人亦未渐,起初，王安石偶尔也骑马出游，那匹马是宋神宗皇帝赐送的。元丰七年那场大病过后，老诗人元气大伤，后来马死掉了，他就专门骑驴，对这头驴，王安石堪称情有独钟。他曾写诗称赞此驴唇比仙人亦未惭，临路长鸣有真意，盘山弟子久同参。,叶落半山,典故,人物+典故,,,王安石、宋神宗,
239,王安石钟爱钟山,宋,宋,,,王安石钟爱钟山，创作《游钟山》、《金陵郡斋偶作》,王安石去的最多的地方，还是城外的钟山。他特别爱这座山，心心念念都是钟山。《游钟山》四首之一：“终日看山不厌山，买山终待老山间。山花落尽山长在，山水空流山自闲。”口口声声都是钟山。游山，或是独游，或是与友人结伴而来，无不有诗。《金陵郡斋偶作》：“移床独向秋风里，卧看蜘蛛结网丝。”,叶落半山,作品事件,人物+创作,南京,钟山,王安石,《游钟山》、《金陵郡斋偶作》
242,王安石拜访赞元,宋,宋,,,王安石拜访赞元，二人相向默坐,王安石晚年住定林寺之时，稍觉烦躁，就去拜访赞元，二人相向默坐，大有王维诗所谓“安禅制毒龙”的意味。“我亦暮年专一壑，每逢车马便惊猜”。话是这么说的，可是他也说过，“尧桀是非犹入梦，因知余习未全忘”。,叶落半山,作者事件,人物+事件,南京,定林寺,王安石、赞元,
244,吴敬梓佣保杂作,清,清,,,吴敬梓在南京的岁月里佣保杂作,按顾云《钵山志》卷四的说法，在南京的岁月里，吴敬梓也曾经“闭门种菜，偕佣保杂作”，体会到城市生活的朴素和粗犷，体会到“佣保杂作”的可爱。,爱住金陵,作者事件,人物+事件,南京,,吴敬梓,
248,杜少卿放弃征辟,明,明,,,杜少卿放弃征辟，向娘子解释留在南京,小说第三十四回，杜少卿得悉征辟的文书到了，急忙装病，躲掉这顶快要落到自己头上的乌纱帽。他向娘子解释道：“放着南京这样好顽的所在，留着我在家，春天秋天，同你出去看花吃酒，好不快活！为什么要送我到京里去？假使连你也带往京里，京里又冷，你身子又弱，一阵风吹得冻死了，也不好。还是不去的妥当。”,名士风流,作品事件,人物+事件,南京,,杜少卿,
249,庄尚志搬到玄武湖上著书,明,明,,,庄尚志搬到玄武湖上著书,庄尚志上京应征辟，风光了一回，最后还是“恳求恩赐还山”，皇上赐玄武湖给他著书立说。回到南京后，他连夜搬到玄武湖上去受用。从此，他住在玄武湖中洲上，常常闭门谢客，只与娘子凭栏看水，并坐读书，宛如武陵仙人。,名士风流,作品事件,人物+事件,南京,玄武湖,庄尚志、娘子,
250,虞博士留南京作闲官,明,明,,,虞博士不求闻达，只要遂其心愿，在南京做一个国子监博士的闲官,虞博士中进士后，本可以留在京里做一个翰林的，却不求闻达，只要遂其心愿，在南京做一个国子监博士的闲官，与家室团圆，过布衣蔬食的生活。,名士风流,作品事件,人物+事件,南京,,虞博士,
252,汤由、汤实两人科场考试,明,明,,,汤由、汤实只知道讲排场，为假名士,第四十二回写汤由、汤实两人科场考试一节，算是比较详细的。这两个贵州总镇都督府的少爷，从扬州上南京贡院赶考，“带着四个小厮，大青天白日，提着两对灯笼：一对上写着‘都督府’，一对上写着‘南京乡试’”，只知道讲排场，何曾知道用功。考前在扬州狎妓，考后又迫不及待去玩戏子，这副名士派头，当然是假的。这两个假名士是外地来的，是匆匆过客，跟久居本地的名士不好比，更不能算作南京的名士。,名士风流,作品事件,人物+事件,扬州、南京,,汤由、汤实,
253,季苇萧叮嘱鲍廷玺,明,明,,,季苇萧叮嘱鲍廷玺，南京不可久住,季苇萧有个同乡季恬逸，同姓而不同宗，当日两个人一路离开安庆，出来谋生，流落到南京。季恬逸一介书生，毫无背景，百无一用，南京对他来说当然“居大不易”。所以，季苇萧叮嘱鲍廷玺道：“姑老爷到南京，千万寻到状元境，劝我那朋友季恬逸回去。南京这地方是可以饿的死人的，万不可久住！”,名士风流,作品事件,人物+典故,安庆、南京,,季苇萧、季恬逸、鲍廷玺,
254,孙星衍描述袁枚,清,清,,,孙星衍描述袁枚“长身鹤立，广颡丰下，齿如编贝，声若洪钟”,据他的同时代人孙星衍在传记中描绘，袁枚“长身鹤立，广颡丰下，齿如编贝，声若洪钟”。,有”足“自随,作品事件,人物+作品,,,孙星衍、袁枚,
255,袁枚广开门庭,清,清,,,袁枚不遗余力，点评揄扬，广开门庭，提携后进，门下弟子众多，名公钜卿，青衿红粉，遍及各界,袁枚也不遗余力，点评揄扬，广开门庭，提携后进，门下弟子众多，名公钜卿，青衿红粉，遍及各界，其中最遭时人非议的是随园女弟子。,有”足“自随,作者事件,人物+典故,,,袁枚,
256,袁枚被刘墉逐客,清,清,,,袁枚被刘墉逐客,出身宰相门第、同时也是清代著名书法家的刘墉到任江苏太守时，可能是听了上面提到的那些风言风语，加上袁枚居然不主动来拜谒，颇为恼怒，准备下令将袁枚赶出随园。袁枚在写给其弟袁树的诗中说：“白下蹉跎二十霜，正愁无计理归装。果然逐客真吾福，如此西湖在故乡。”这当然是无奈沮丧之余，唱唱高调而已。不过，袁枚后来还是应约为刘墉精心代作了一篇《江南恩科谢表》，两人关系重归于好。刘墉升迀离开江苏时，袁枚还作了一首长诗送行，给他大唱赞歌。,有”足“自随,作者事件,人物+典故,南京,随园,袁枚、刘墉、袁树,《江南恩科谢表》
257,袁枚葬父随园,清,清,,,袁枚葬父随园，下决心终老于随园,54岁那年，他征得母亲和家人的同意，决定葬父于随园之内，这表明他最终下决心终老于随园。“我取西子湖，移在金陵看。”,有”足“自随,作者事件,人物+事件,金陵,随园,袁枚,
259,杨潮观与袁枚重修于好,清,清,,,杨潮观与袁枚重修于好,据清秦缃业修《无锡县志》上说，袁枚曾在随园搬演其《吟风阁杂剧》，一座倾倒。今传写韵楼钞本《吟风阁杂剧》，就是随园女弟子吴琼仙点勘校正的。在书札文字之外，吟风阁和随园之间再结文学因缘。临终之时，杨潮观遗嘱要袁枚为其作传，这就是今存《国朝耆献类征初编》卷二三二中的那篇《杨潮观传》。,痴人说梦,作品事件,人物+事件,南京,吟风阁、随园,杨潮观、袁枚、吴琼仙,《吟风阁杂剧》、《杨潮观传》
261,王韬沉溺南京寻芳访艳,清,清,道光,1846年,王韬沉溺南京寻芳访艳,道光二十六年（1846）秋天，19岁的苏州甪直书生王韬来到南京，寓居夫子庙东边的钓鱼巷龚家，“左右多青楼”，可谓与“流莺比邻”。王韬充分利用这个“天时地利”，出入欢场，寻芳访艳，忙得不亦乐乎，早已把乡试文战之事丢在脑后。在他晚年撰写的回忆集《漫游随录》中，数十年前的这次南京之行，芟繁就简，只剩下以“白下传书”“白门访艳”和“金陵纪游”题名的三段记忆。,俗眼看“花”,作者事件,人物+事件,南京,夫子庙钓鱼巷,王韬,《漫游随录》
262,视萧郎如陌路,南朝,南朝,,,如夫人视萧郎如陌路,话说金陵颜料坊某公馆中有一位如夫人，本来是勾栏女校书，也曾在钓鱼巷高张艳帜，招展花枝，后来被大官人纳作小星，宠擅专房，骄侈之气不免日盛一日。有一天，如夫人一身鲜丽盛装，带着一群仆从到财神庙烧香，声势浩大，引得街坊好事者群集围观，如夫人心中好不得意。却说围观者中有一位秀才，恰好是她的昔年旧客，曾与之一度春风，念及旧情，遂大踏步向前，低声小唤卿卿，冀念旧好而叙阔衷。没想到，美人反面无情，恼羞成怒，喝令家丁将这秀才押回公馆，又诉于大官，叫送到县里严加惩办。秀才自作多情固然是多事，如夫人视萧郎如陌路也便够了，却进而视同仇雠，仗势欺人，也未免太过分。,俗眼看花,典故,人物+典故,金陵,钓鱼巷,如夫人,
263,曾国荃擅权纳,清,清,,,曾国荃擅权纳贿，为了避人耳目，受贿之事总是经由幕客中介转手，接洽地点总是挑在钓鱼巷妓院,据说曾国荃当上两江总督后，擅权纳贿，为了避人耳目，受贿之事总是经由幕客中介转手，接洽地点总是挑在钓鱼巷妓院，可谓“雅俗兼顾”。当时，两江总督府衙门有东西两个辕门，上面分别写着“两江保障”“三省钧衡”四个大字。有人借拆字法把“衡”字巧妙地拆成“鱼”“行”二字，“钧”“钓”二字又仅有一“点”之差，这样“三省钧衡”就变成了“三省钓鱼行”，影射曾国荃是这家“钓鱼（牟利）行”的总行主。,俗眼看“花”,作者事件,人物+事件,南京,钓鱼巷,曾国荃,
